molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL560175,COc1cc(O)c(/C=C\C(=O)O)cc1[C@@H](O)CC(C)C,IC50,27900.0,nM,4.55,,CHEMBL1053958,9,CHEMBL2326,CHEMBL1152378,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,357.0,nM,6.45,,CHEMBL1953733,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,265.0,nM,6.58,,CHEMBL1953735,9,CHEMBL2326,CHEMBL1949606,8q3u,P43166
