molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4573270,CCC(=O)Nc1cc(F)c2nc(N3CCOCC3)ccc2c1,IC50,1550.0,nM,5.81,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4529228,CC(C)CC(=O)Nc1cc(F)c2nc(N3CCOCC3)ccc2c1,IC50,2570.0,nM,5.59,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4438368,O=C(Nc1cc(F)c2nc(N3CCOCC3)ccc2c1)c1ccco1,IC50,3550.0,nM,5.45,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4557965,O=C(Nc1cc(F)c2nc(N3CCOCC3)ccc2c1)C1CCC1,IC50,1550.0,nM,5.81,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4447053,CC(=O)N1CCc2c(c(=O)[nH]c3onc(C)c23)C1,IC50,1410.0,nM,5.85,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1428926,O=C1CSC(c2ccccn2)N1c1ccc2ccccc2c1,IC50,10960.0,nM,4.96,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4458319,Cc1ccc2oc(SCC(=O)Nc3cccc(N4CCCC4=O)c3)nc2n1,IC50,4470.0,nM,5.35,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4444569,O=C(CSc1nc2ncccc2o1)Nc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1,IC50,2750.0,nM,5.56,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4518849,O=C(CSc1nc2ncccc2o1)Nc1ccc(S(=O)(=O)NC2CCCCC2)cc1,IC50,3020.0,nM,5.52,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4571787,O=C1CCCC2=C1C(c1cccs1)N(S(=O)(=O)c1ccc(F)cc1)c1ccccc1N2,IC50,4570.0,nM,5.34,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4530297,CCOc1ccc(Nc2ncnc3sc(C(=O)O)c(C)c23)cc1,IC50,9330.0,nM,5.03,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4515532,CCOC(=O)C1CCCN(c2cc(C(=O)O)c3cc(N)ccc3n2)C1,IC50,5500.0,nM,5.26,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4526369,COc1ccc(N2C(=O)c3cccnc3C2Nc2ccc(OC)c(OC)c2)cc1,IC50,2950.0,nM,5.53,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4458425,COc1cc(OC)c(NC(=O)N2CCC3(CC2)Nc2cc(F)ccc2-n2cccc23)cc1Cl,IC50,4170.0,nM,5.38,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4457302,COc1ccc2c(c1)C=C(C(=O)Nc1ccc(OC)cc1OC)CO2,IC50,8710.0,nM,5.06,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4436395,COc1cc(OC)c(NC(=O)NCCC2=CSC3CC(C)CCC23)cc1Cl,IC50,7080.0,nM,5.15,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4446811,Cc1cc2nc(CSc3nc4ccc(NC(=O)CCC5CCCC5)cc4s3)cc(=O)n2o1,IC50,9550.0,nM,5.02,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4559503,COc1cc(OC)c(NC(=O)N2CCn3cccc3C2C)cc1Cl,IC50,12880.0,nM,4.89,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4443668,COc1cc(OC)c(NC(=O)NCc2c(C)nn(C)c2C)cc1Cl,IC50,11480.0,nM,4.94,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4533947,COc1ccc(Nc2nnc(-n3nc(C)cc3C)c3ccccc23)cc1OC,IC50,8320.0,nM,5.08,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4445305,Fc1ccc(NCc2ccc3nccnc3c2)c(F)c1,IC50,2750.0,nM,5.56,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4558592,Cc1cc(C)c(Cn2cccc2CNC(=O)Nc2ccc3c(c2)OCCO3)c(C)c1,IC50,4470.0,nM,5.35,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4448873,COc1ccc(OC)c(NC(=O)CSc2nc3ncccc3o2)c1,IC50,2140.0,nM,5.67,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4557996,O=C(CSc1nc2ncccc2o1)Nc1ccc(Br)cc1F,IC50,1820.0,nM,5.74,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4555669,Cn1nc(C(=O)N2CC=C(c3ccccc3)CC2)c2c1-c1ccsc1CC2,IC50,850.0,nM,6.07,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4471334,COc1ccc(Cl)cc1NC(=O)N1CC2CCCN2c2ccccc21,IC50,2000.0,nM,5.7,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4467485,COc1ccc(OC)c(NS(=O)(=O)c2cc(-c3cc(C)no3)ccc2C(C)C)c1,IC50,3890.0,nM,5.41,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4443433,CNC(=O)c1oc2c(c1C)C1N=C(C)SC1CC2,IC50,5130.0,nM,5.29,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4456033,Cn1c(=O)oc2cc(S(=O)(=O)N3CCC4(CC3)Nc3cc(F)ccc3-n3cccc34)ccc21,IC50,8510.0,nM,5.07,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4538407,O=C(Nc1ccc2c(c1)OCCO2)N1Cc2ccccc2Oc2ncccc21,IC50,3090.0,nM,5.51,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4518973,CCc1nnc2c3ccccc3nc(Nc3ccc(OC)c(OC)c3)n12,IC50,12300.0,nM,4.91,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4550873,COc1ccc(OC)c(Nc2c(-c3ccc4c(c3)CCCC4)c(=O)c2=O)c1,IC50,2400.0,nM,5.62,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4559842,CCOC(=O)Cc1csc(NC(=O)Nc2cn(CC(C)C)c(=O)c3ccccc23)n1,IC50,3310.0,nM,5.48,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4525702,CC(C)Cn1cc(NC(=O)N(Cc2ccco2)C2CCCCC2C)c2ccccc2c1=O,IC50,6310.0,nM,5.2,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4468439,CC(C)Cn1cc(NC(=O)NCCN2CCC(C)CC2)c2ccccc2c1=O,IC50,3800.0,nM,5.42,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4541202,CC(C)Cn1cc(NC(=O)NC(c2cccs2)C(C)C)c2ccccc2c1=O,IC50,4070.0,nM,5.39,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4565701,CC(C)Cn1cc(NC(=O)N2CCC(C(N)=O)(N3CCCCC3)CC2)c2ccccc2c1=O,IC50,2510.0,nM,5.6,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4531045,CC(C)Cn1cc(NC(=O)NCCc2ccsc2)c2ccccc2c1=O,IC50,1660.0,nM,5.78,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4526437,CC(C)Cn1cc(NC(=O)NCCN2CCN(C)CC2)c2ccccc2c1=O,IC50,2450.0,nM,5.61,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4460129,CCN(CC)S(=O)(=O)c1ccc(NC(=O)Nc2cn(CC(C)C)c(=O)c3ccccc23)cc1,IC50,3720.0,nM,5.43,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4442046,CC(C)Cn1cc(NC(=O)Nc2cc(F)ccc2F)c2ccccc2c1=O,IC50,4270.0,nM,5.37,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4464489,CC(C)Cn1cc(NC(=O)Nc2cccnc2)c2ccccc2c1=O,IC50,2240.0,nM,5.65,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4438740,CC(C)Cn1cc(NC(=O)NC2CCCC2)c2ccccc2c1=O,IC50,2240.0,nM,5.65,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4453886,CC(C)Cn1cc(NC(=O)N2CCN(C(=O)c3ccco3)CC2)c2ccccc2c1=O,IC50,4570.0,nM,5.34,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4561599,CCC(C)NC(=O)Nc1cn(CC(C)C)c(=O)c2ccccc12,IC50,2340.0,nM,5.63,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4436987,CC(C)Cn1cc(NC(=O)Nc2ccc(F)cc2Cl)c2ccccc2c1=O,IC50,1860.0,nM,5.73,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4584803,CC(C)Cn1cc(NC(=O)NC2CCCCC2)c2ccccc2c1=O,IC50,1740.0,nM,5.76,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4547456,COc1ccc2nc(NC(=O)Nc3cn(CC(C)C)c(=O)c4ccccc34)sc2c1,IC50,2040.0,nM,5.69,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4474972,O=C(Nc1ccc2c(c1)OCO2)c1cnn(-c2ccc(F)cc2F)c1C1CCNCC1,IC50,12880.0,nM,4.89,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4560380,O=C(Nc1ccc2c(c1)OCCO2)N1CCc2c([nH]c3ccccc23)C1c1ccccc1F,IC50,4790.0,nM,5.32,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4474433,Cc1cc(NC(=O)N2CCSc3ncccc32)ccc1Br,IC50,4370.0,nM,5.36,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4561726,O=C(Nc1cccc2c1CCCC2)N1CCSc2ncccc21,IC50,2340.0,nM,5.63,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4579020,O=c1c(Nc2cccc3c2CCCC3)c(-c2ccc(Cl)cc2)c1=O,IC50,5250.0,nM,5.28,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4463832,COc1ccc(Nc2nc(NC3CCCC3)nc3c2cnn3C)cc1,IC50,2690.0,nM,5.57,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4462291,COCCCNc1nc(Nc2ccc(OC)cc2)c2cnn(C)c2n1,IC50,2340.0,nM,5.63,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4585523,CNc1nc(Nc2ccc(OC)cc2)c2cnn(C)c2n1,IC50,13800.0,nM,4.86,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4546959,COc1ccc(Nc2nc(Nc3ccccc3)c3cnn(C)c3n2)c(OC)c1,IC50,3310.0,nM,5.48,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4556692,COc1cc(OC)c(N(C)C(=O)Nc2cn(C)c(=O)c3ccccc23)cc1Cl,IC50,3720.0,nM,5.43,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4530695,CC1CC(C)CN(CCCNC(=O)Nc2cn(C)c(=O)c3ccccc23)C1,IC50,10720.0,nM,4.97,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4462836,Cn1cc(NC(=O)NCC2COc3ccccc3O2)c2ccccc2c1=O,IC50,4680.0,nM,5.33,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4463480,CCCCN(CC)C(=O)Nc1cn(C)c(=O)c2ccccc12,IC50,15850.0,nM,4.8,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4475869,Cn1cc(NC(=O)NCc2cccnc2)c2ccccc2c1=O,IC50,5750.0,nM,5.24,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4471213,Cn1cc(NC(=O)NCCN2CCOCC2)c2ccccc2c1=O,IC50,6760.0,nM,5.17,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4451117,COc1ccc(NC(=O)N2CCSc3ccccc32)cc1OC,IC50,7080.0,nM,5.15,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4440546,CCc1ccc(NS(=O)(=O)c2ccc3c4c2CC(=O)N4CC(C)S3)cc1,IC50,2140.0,nM,5.67,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4467802,COc1ccc(NC(=O)CSc2ccc(-c3cccs3)nn2)cc1OC,IC50,11750.0,nM,4.93,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4450642,Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NC3CCCCC3C)cc1CC2,IC50,3160.0,nM,5.5,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4555161,CCCN1CCN(CCCNC(=O)c2oc3c(c2C)-c2[nH]ncc2CC3)CC1,IC50,5130.0,nM,5.29,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4475301,Cc1c(C(=O)NCCC2=CCCCC2)oc2c1-c1[nH]ncc1CC2,IC50,1740.0,nM,5.76,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4471431,Cc1c(C(=O)NCCCN2CCOCC2)oc2c1-c1[nH]ncc1CC2,IC50,4170.0,nM,5.38,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4461427,Cc1c(C(=O)NCc2ccco2)oc2c1-c1[nH]ncc1CC2,IC50,6920.0,nM,5.16,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1519485,COc1ccc(NC(=O)n2ncc3cc(Cl)ccc32)cc1OC,IC50,9770.0,nM,5.01,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4434733,CCC1c2ccc(C)n2CCN1C(=O)Nc1cc(OC)ccc1OC,IC50,6310.0,nM,5.2,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4537620,O=C1CN(C(=O)COc2cccc3ccccc23)c2ccccc2N1,IC50,2340.0,nM,5.63,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1510877,COCCN1CCn2c(nc3cc(NC(=O)NC4CCCCC4)ccc32)C1,IC50,5130.0,nM,5.29,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4526686,COc1ccc(C2CC(=O)N3CN(c4ccc(CCO)cc4)CSC3=C2C#N)cc1,IC50,6170.0,nM,5.21,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4515681,COC(=O)Cn1cc2c(n1)-c1c(oc(C(=O)N3CCCC3)c1C)CC2,IC50,6030.0,nM,5.22,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4471192,COc1ccc(NC2c3ncccc3C(=O)N2Cc2ccco2)cc1OC,IC50,12590.0,nM,4.9,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4560885,COc1cc(C2CC(=O)N3CN(C4CCCCC4)CSC3=C2C#N)ccc1O,IC50,4370.0,nM,5.36,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1423359,O=C1c2ccccc2C(Nc2ccc3[nH]c(-c4cccnc4)nc3c2)N1Cc1ccco1,IC50,9770.0,nM,5.01,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4566107,COc1cc(NC2=C(c3ccccc3)C(=O)c3ccccc32)cc(OC)c1,IC50,11480.0,nM,4.94,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4473639,CCCCN1CCS(=O)(=O)c2c(Cl)c(N3CCOCC3)nc(Oc3ccc(F)cc3)c21,IC50,4570.0,nM,5.34,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4440469,Cc1nc(SCC(=O)Nc2cccc3nsnc23)oc1C,IC50,2510.0,nM,5.6,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1300552,CCOC(=O)c1c(C)oc2c1c1c(c3ccccc32)OCN(CCCC(=O)O)C1,IC50,1350.0,nM,5.87,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4472063,CC(=O)Oc1cc2c(C(=O)NCC3CCCO3)c(C)oc2c2ccccc12,IC50,3720.0,nM,5.43,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4529223,CN1CCc2nc3sc(C(=O)c4ccc(Cl)cc4)c(N)c3cc2C1,IC50,3890.0,nM,5.41,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4590560,CN(C)c1ccc(NC(=O)C2CC=CCC2C(=O)O)cc1,IC50,4790.0,nM,5.32,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1528232,CCOC(=O)CSc1nc2ccc(N)cc2s1,IC50,710.0,nM,6.15,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1395307,CCOc1ccccc1NCc1nnc2n1CCCCC2,IC50,14130.0,nM,4.85,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1394684,COc1ccc(NCc2cccn2-c2nnc(N3CCCCC3)s2)cc1OC,IC50,3390.0,nM,5.47,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1597785,COc1ccc(NC(=O)N2CCN3CCCCC3C2)cc1OC,IC50,3390.0,nM,5.47,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4569167,COC(=O)c1sc(=S)n(-c2ccc3c(c2)OCO3)c1N,IC50,2950.0,nM,5.53,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4536110,CCCCCC(C)n1nc(O)c2c(C)cc(=O)[nH]c21,IC50,7080.0,nM,5.15,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4528439,Cc1ccc2c(c1)c1c(n2CC(O)CNCCO)C(=O)CCC1,IC50,5010.0,nM,5.3,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1304927,CC(=O)Nc1ncc2c(n1)CC(c1ccco1)CC2=O,IC50,4570.0,nM,5.34,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL1201303,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,IC50,2570.4,nM,5.59,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,IC50,436.52,nM,6.36,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL30432,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,IC50,2454.71,nM,5.61,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL19224,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,IC50,2691.53,nM,5.57,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
CHEMBL4553385,CCCCC(=O)Nc1cc(F)c2nc(N3CCOCC3)ccc2c1,IC50,1580.0,nM,5.8,,CHEMBL4418848,9,CHEMBL4295747,CHEMBL4418497,8fjt,P34897
