molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IC50,84000.0,nM,4.08,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4126240,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[N+](C)(C)C)c(I)c1.[I-],IC50,976000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4129540,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCC[N+](C)(C)C)c(I)c1.[I-],IC50,740000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4126951,CCCCc1oc2ccccc2c1C(=O)c1ccc(OCCCN(C)C)cc1,IC50,158000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4130224,CCCCc1oc2ccccc2c1C(=O)c1ccc(OCCC[N+](C)(C)C)cc1.[I-],IC50,579000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4126406,Cc1oc2ccccc2c1C(=O)c1ccc(OCCC[N+](C)(C)C)cc1.[I-],IC50,598000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4127792,Cc1sc2ccccc2c1C(=O)c1ccc(OCCC[N+](C)(C)C)cc1.[I-],IC50,501000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4128152,C/N=C(\c1ccc(OCCC[N+](C)(C)C)cc1)c1coc2ccccc12.[I-],IC50,682000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4127094,CCCCc1oc2ccccc2c1C(=O)c1ccccc1OCCC[N+](C)(C)C.[I-],IC50,1294000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
CHEMBL4128613,Cc1oc2ccccc2c1C(=O)c1ccccc1OCCC[N+](C)(C)C.[I-],IC50,533000.0,nM,,,CHEMBL4122977,9,CHEMBL4295672,CHEMBL4118181,8f8y,O75151
