molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,8430.0,nM,5.07,,CHEMBL1068068,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,8430.0,nM,5.07,,CHEMBL1068068,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,8430.0,nM,5.07,,CHEMBL1068068,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,8430.0,nM,5.07,,CHEMBL1068068,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,8430.0,nM,5.07,,CHEMBL1068068,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591237,CSc1ncnc2c1NCN2CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,IC50,35000.0,nM,4.46,,CHEMBL1068068,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL601298,Fc1cccc(Cl)c1/C=N/N=C1c2ccccc2-c2ccccc21,IC50,14000.0,nM,4.85,,CHEMBL1068068,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591472,O=c1c2ccccc2c2ccccc2c(=O)n1-c1cccc2c1ccc1c3ccccc3ccc21,IC50,5000.0,nM,5.3,,CHEMBL1068068,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL601283,CCOC(=O)CN(C(=O)COC(=O)Cc1c[nH]c2ccccc12)c1ccc(F)cc1,IC50,7940.0,nM,5.1,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL601283,CCOC(=O)CN(C(=O)COC(=O)Cc1c[nH]c2ccccc12)c1ccc(F)cc1,IC50,7940.0,nM,5.1,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL601283,CCOC(=O)CN(C(=O)COC(=O)Cc1c[nH]c2ccccc12)c1ccc(F)cc1,IC50,11220.0,nM,4.95,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL601283,CCOC(=O)CN(C(=O)COC(=O)Cc1c[nH]c2ccccc12)c1ccc(F)cc1,IC50,11220.0,nM,4.95,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591964,CCOc1cccc2cc(C(=O)OCC(=O)c3c[nH]c4ccccc34)c(=O)oc12,IC50,14130.0,nM,4.85,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591964,CCOc1cccc2cc(C(=O)OCC(=O)c3c[nH]c4ccccc34)c(=O)oc12,IC50,14130.0,nM,4.85,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591964,CCOc1cccc2cc(C(=O)OCC(=O)c3c[nH]c4ccccc34)c(=O)oc12,IC50,22390.0,nM,4.65,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591964,CCOc1cccc2cc(C(=O)OCC(=O)c3c[nH]c4ccccc34)c(=O)oc12,IC50,22390.0,nM,4.65,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591965,O=C(/C=C/c1ccc(C(F)(F)F)cc1)OC(C(=O)NC1CC1)c1ccccc1,IC50,31620.0,nM,4.5,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591965,O=C(/C=C/c1ccc(C(F)(F)F)cc1)OC(C(=O)NC1CC1)c1ccccc1,IC50,31620.0,nM,4.5,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591965,O=C(/C=C/c1ccc(C(F)(F)F)cc1)OC(C(=O)NC1CC1)c1ccccc1,IC50,44670.0,nM,4.35,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591965,O=C(/C=C/c1ccc(C(F)(F)F)cc1)OC(C(=O)NC1CC1)c1ccccc1,IC50,44670.0,nM,4.35,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591966,O=C(OCc1cn2ccccc2n1)c1c2c(nc3ccccc13)CCC2,IC50,35480.0,nM,4.45,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591966,O=C(OCc1cn2ccccc2n1)c1c2c(nc3ccccc13)CCC2,IC50,35480.0,nM,4.45,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591966,O=C(OCc1cn2ccccc2n1)c1c2c(nc3ccccc13)CCC2,IC50,50120.0,nM,4.3,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL591966,O=C(OCc1cn2ccccc2n1)c1c2c(nc3ccccc13)CCC2,IC50,50120.0,nM,4.3,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590542,CCOC(=O)c1sc(N2C(=O)c3oc4ccc(F)cc4c(=O)c3C2c2ccc(C)cc2)nc1C,IC50,44670.0,nM,4.35,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590542,CCOC(=O)c1sc(N2C(=O)c3oc4ccc(F)cc4c(=O)c3C2c2ccc(C)cc2)nc1C,IC50,44670.0,nM,4.35,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590542,CCOC(=O)c1sc(N2C(=O)c3oc4ccc(F)cc4c(=O)c3C2c2ccc(C)cc2)nc1C,IC50,50120.0,nM,4.3,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590542,CCOC(=O)c1sc(N2C(=O)c3oc4ccc(F)cc4c(=O)c3C2c2ccc(C)cc2)nc1C,IC50,50120.0,nM,4.3,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590803,COC(=O)c1ccc(COc2ccc(C3Nc4ccccc4C(=O)N3C3CC3)cc2OC)cc1,IC50,44670.0,nM,4.35,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590803,COC(=O)c1ccc(COc2ccc(C3Nc4ccccc4C(=O)N3C3CC3)cc2OC)cc1,IC50,44670.0,nM,4.35,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590803,COC(=O)c1ccc(COc2ccc(C3Nc4ccccc4C(=O)N3C3CC3)cc2OC)cc1,IC50,89130.0,nM,4.05,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590803,COC(=O)c1ccc(COc2ccc(C3Nc4ccccc4C(=O)N3C3CC3)cc2OC)cc1,IC50,89130.0,nM,4.05,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590804,COc1cc(/C=C/C(=O)OC(C(=O)N2CCCCC2)c2ccccc2)ccc1O,IC50,79430.0,nM,4.1,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590804,COc1cc(/C=C/C(=O)OC(C(=O)N2CCCCC2)c2ccccc2)ccc1O,IC50,79430.0,nM,4.1,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590804,COc1cc(/C=C/C(=O)OC(C(=O)N2CCCCC2)c2ccccc2)ccc1O,IC50,70790.0,nM,4.15,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL590804,COc1cc(/C=C/C(=O)OC(C(=O)N2CCCCC2)c2ccccc2)ccc1O,IC50,70790.0,nM,4.15,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL600867,Cc1cc(C)nc(N/C=C(\C#N)C(=O)c2cccc(CSc3ccccc3)c2)n1,IC50,100000.0,nM,4.0,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL600867,Cc1cc(C)nc(N/C=C(\C#N)C(=O)c2cccc(CSc3ccccc3)c2)n1,IC50,100000.0,nM,4.0,,CHEMBL1068069,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL600867,Cc1cc(C)nc(N/C=C(\C#N)C(=O)c2cccc(CSc3ccccc3)c2)n1,IC50,79430.0,nM,4.1,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL600867,Cc1cc(C)nc(N/C=C(\C#N)C(=O)c2cccc(CSc3ccccc3)c2)n1,IC50,79430.0,nM,4.1,,CHEMBL1068070,9,CHEMBL1075138,CHEMBL1157706,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,7700.0,nM,5.11,,CHEMBL1109824,9,CHEMBL1075138,CHEMBL1156254,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,7700.0,nM,5.11,,CHEMBL1109824,9,CHEMBL1075138,CHEMBL1156254,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,7700.0,nM,5.11,,CHEMBL1109824,9,CHEMBL1075138,CHEMBL1156254,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,7700.0,nM,5.11,,CHEMBL1109824,9,CHEMBL1075138,CHEMBL1156254,7ufy,Q9NUW8
CHEMBL387152,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)c1ccc(Br)cc1,IC50,7700.0,nM,5.11,,CHEMBL1109824,9,CHEMBL1075138,CHEMBL1156254,7ufy,Q9NUW8
CHEMBL2036061,CCCCC(C)C1=CC(=O)C2=C(O[C@]3(C)CC[C@H]4O[C@@H](C(C)(O)C(=O)O)CC[C@]4(C)[C@H]3C2)C1=O,IC50,18000.0,nM,4.75,,CHEMBL2039748,9,CHEMBL1075138,CHEMBL2034861,7ufy,Q9NUW8
CHEMBL188130,Cl.NCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,55300.0,nM,4.26,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL188130,Cl.NCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,55300.0,nM,4.26,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL333363,Cl.NCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,29500.0,nM,4.53,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL333363,Cl.NCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,29500.0,nM,4.53,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL333363,Cl.NCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,29500.0,nM,4.53,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL187863,Cl.NCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,22300.0,nM,4.65,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL187863,Cl.NCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,22300.0,nM,4.65,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL225093,Cl.NCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,17500.0,nM,4.76,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL225093,Cl.NCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,17500.0,nM,4.76,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL390611,Cl.NCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,25000.0,nM,4.6,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL390611,Cl.NCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,25000.0,nM,4.6,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL225390,Cl.NCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,28800.0,nM,4.54,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL225390,Cl.NCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,28800.0,nM,4.54,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL427251,Cl.NCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,48000.0,nM,4.32,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL427251,Cl.NCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,48000.0,nM,4.32,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL376179,Cl.NCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,47000.0,nM,4.33,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL376179,Cl.NCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,47000.0,nM,4.33,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL223773,Cl.NCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,14100.0,nM,4.85,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL223773,Cl.NCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,14100.0,nM,4.85,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL223545,Cl.NCCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,12800.0,nM,4.89,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL223545,Cl.NCCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,12800.0,nM,4.89,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL388801,Cl.NCCCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,15100.0,nM,4.82,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL388801,Cl.NCCCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,15100.0,nM,4.82,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059276,CS(=O)(=O)NCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059277,CS(=O)(=O)NCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059278,CS(=O)(=O)NCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059279,CS(=O)(=O)NCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059280,CS(=O)(=O)NCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059280,CS(=O)(=O)NCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059281,CS(=O)(=O)NCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059282,CS(=O)(=O)NCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059283,CS(=O)(=O)NCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059284,CS(=O)(=O)NCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059427,CS(=O)(=O)NCCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059427,CS(=O)(=O)NCCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059428,CS(=O)(=O)NCCCCCCCCCCCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2057231,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059429,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059430,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059431,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059432,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059433,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059434,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059530,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059531,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCCCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059532,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCCCCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059533,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCCCCCCCNS(=O)(=O)c1ccccc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059534,Cc1ccc(S(=O)(=O)NCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059535,Cc1ccc(S(=O)(=O)NCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059536,Cc1ccc(S(=O)(=O)NCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059537,Cc1ccc(S(=O)(=O)NCCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059538,Cc1cccc(S(=O)(=O)NCCCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)c1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059539,Cc1ccc(S(=O)(=O)NCCCCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059690,Cc1ccc(S(=O)(=O)NCCCCCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059691,Cc1ccc(S(=O)(=O)NCCCCCCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059692,Cc1ccc(S(=O)(=O)NCCCCCCCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059693,Cc1ccc(S(=O)(=O)NCCCCCCCCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059694,Cc1ccc(S(=O)(=O)NCCCCCCCCCCCCn2c3c(c4ccccc4c2=O)C(=O)c2ccccc2-3)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059695,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCNS(=O)(=O)c1ccc(Br)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059748,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCNS(=O)(=O)c1ccc(Br)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059749,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCNS(=O)(=O)c1ccc(Br)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059750,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCNS(=O)(=O)c1ccc(Br)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059751,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCNS(=O)(=O)c1ccc(Br)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059752,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCCNS(=O)(=O)c1ccc(Br)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
CHEMBL2059753,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCCCCCCNS(=O)(=O)c1ccc(Br)cc1,IC50,111000.0,nM,,,CHEMBL2061432,9,CHEMBL1075138,CHEMBL2057156,7ufy,Q9NUW8
