molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL544558,CC[C@@H]1CC(C(=O)NCc2ccc(C(=N)N)cc2)N2C(=O)[C@](N)(CC3=CCCCC3)C[C@H](OC)[C@H]12.Cl,IC50,133000.0,nM,,,CHEMBL663258,8,CHEMBL2820,CHEMBL1136036,8bo6,P03951
CHEMBL542435,CC[C@@H]1CC(C(=O)NCc2ccc(C(=N)N)cc2)N2C(=O)[C@](N)(Cc3ccccc3)C[C@H](OC)[C@H]12.Cl,IC50,133000.0,nM,,,CHEMBL663258,8,CHEMBL2820,CHEMBL1136036,8bo6,P03951
CHEMBL1160757,C=C(C)C[C@]1(N)C[C@H](OC)[C@@H]2[C@H](CC)CC(C(=O)NCc3ccc(C(=N)N)cc3)N2C1=O.O=C(O)/C=C/C(=O)O,IC50,133000.0,nM,,,CHEMBL663258,8,CHEMBL2820,CHEMBL1136036,8bo6,P03951
CHEMBL542434,CO[C@H]1C[C@@](O)(Cc2ccccc2)C(=O)N2C(C(=O)NCc3ccc(C(=N)N)cc3)CC[C@@H]12.Cl,IC50,35000.0,nM,4.46,,CHEMBL663258,8,CHEMBL2820,CHEMBL1136036,8bo6,P03951
CHEMBL380455,CC(C)CC(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,123000.0,nM,,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL206736,CC(C)[C@H](NC(=O)[C@H](N)c1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,1750.0,nM,5.76,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL210637,CC(C)[C@H](NC(=O)[C@@H](O)c1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,431.0,nM,6.37,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL383645,CC(C)[C@H](NC(=O)[C@H](O)c1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,425.0,nM,6.37,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL210624,CC(C)[C@H](NC(=O)[C@H](O)c1cccc(F)c1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,956.0,nM,6.02,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL207349,CC(C)[C@H](NC(=O)[C@H](O)c1ccccc1Cl)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,790.0,nM,6.1,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL403113,CC(C)[C@H](NC(=O)[C@H](O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,116.0,nM,6.94,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL403113,CC(C)[C@H](NC(=O)[C@H](O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,116.0,nM,6.94,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL403113,CC(C)[C@H](NC(=O)[C@H](O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,116.0,nM,6.94,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL429733,CC(C)[C@H](NC(=O)C(=O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,254.0,nM,6.59,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL429733,CC(C)[C@H](NC(=O)C(=O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,254.0,nM,6.59,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL255407,CC(C)CCC(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,850.0,nM,6.07,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL255407,CC(C)CCC(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,850.0,nM,6.07,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL207143,CC(C)[C@H](CC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,6220.0,nM,5.21,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL208289,CC(C)[C@H](NC(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,3310.0,nM,5.48,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL207951,CC(C)[C@H](NC(=O)N[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,713.0,nM,6.15,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL382229,CC(C)[C@H](NC(=O)N[C@H](C)c1ccc(F)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,2320.0,nM,5.63,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL208405,CC(C)[C@H](NC(=O)N[C@@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,12500.0,nM,4.9,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL207453,CC(C)[C@H](NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,1200.0,nM,5.92,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL208597,CC(C)[C@H](NC(=O)N[C@H](C)c1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)c1nccs1,IC50,1720.0,nM,5.76,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL257315,CC(C)[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,480.0,nM,6.32,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL257315,CC(C)[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,480.0,nM,6.32,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL271508,CC(C)[C@H](NC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,502.0,nM,6.3,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL271508,CC(C)[C@H](NC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,502.0,nM,6.3,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL210434,N=C(N)NCCC[C@H](NC(=O)c1cc(F)cc2c1OCOC2)C(=O)c1nccs1,IC50,5900.0,nM,5.23,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL208645,N=C(N)NCCC[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)c1nccs1,IC50,250000.0,nM,,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL207052,N=C(N)NCCC[C@H](NS(=O)(=O)c1ccc2ccccc2c1)C(=O)c1nccs1,IC50,86000.0,nM,4.07,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL383007,N=C(N)NCCC[C@H](NC(=O)c1ccc2ccccc2c1)C(=O)c1nccs1,IC50,200000.0,nM,,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL210731,N=C(N)NCCC[C@H](NC(=O)c1cccc2ccccc12)C(=O)c1nccs1,IC50,2250.0,nM,5.65,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL207372,N=C(N)NCCC[C@H](NC(=O)Cc1ccc(Cl)c(Cl)c1)C(=O)c1nccs1,IC50,37900.0,nM,4.42,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL378011,N=C(N)NCCC[C@H](NC(=O)Cc1cccc2ccccc12)C(=O)c1nccs1,IC50,250000.0,nM,,,CHEMBL854192,9,CHEMBL2820,CHEMBL1148656,8bo6,P03951
CHEMBL2448389,Cl.NCc1ccc(B(O)O)cc1,IC50,77300.0,nM,4.11,,CHEMBL909746,9,CHEMBL2820,CHEMBL1149506,8bo6,P03951
CHEMBL537204,Cl.N=C(N)c1ccccc1,IC50,120000.0,nM,,,CHEMBL909746,9,CHEMBL2820,CHEMBL1149506,8bo6,P03951
CHEMBL211921,CC1(C)OB(c2ccc(C(NC(=N)N)OC(=O)c3cccnc3)cc2)OC1(C)C.O=C(O)C(F)(F)F,IC50,1400.0,nM,5.85,,CHEMBL909746,9,CHEMBL2820,CHEMBL1149506,8bo6,P03951
CHEMBL213434,CC1(C)OB(c2ccc(NC(=N)N)cc2)OC1(C)C.O=C(O)C(F)(F)F,IC50,5900.0,nM,5.23,,CHEMBL909746,9,CHEMBL2820,CHEMBL1149506,8bo6,P03951
CHEMBL215750,CC1(C)OB(c2ccc(CCN=C(N)N)cc2)OC1(C)C.O=C(O)C(F)(F)F,IC50,7300.0,nM,5.14,,CHEMBL909746,9,CHEMBL2820,CHEMBL1149506,8bo6,P03951
CHEMBL384180,CC1(C)OB(c2ccc(CN=C(N)N)cc2)OC1(C)C,IC50,24700.0,nM,4.61,,CHEMBL909746,9,CHEMBL2820,CHEMBL1149506,8bo6,P03951
CHEMBL215135,N=C(N)NCc1ccc(B(O)O)cc1.O=C(O)C(F)(F)F,IC50,22000.0,nM,4.66,,CHEMBL909746,9,CHEMBL2820,CHEMBL1149506,8bo6,P03951
CHEMBL219440,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NNC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,93.0,nM,7.03,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL264357,CC(C)[C@H](NC(=O)[C@H](Cc1cccnc1)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,12.0,nM,7.92,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL273653,CC(C)[C@H](NC(=O)[C@H](CCCNC(N)=O)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,30.0,nM,7.52,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL273653,CC(C)[C@H](NC(=O)[C@H](CCCNC(N)=O)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,30.0,nM,7.52,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL412546,CC(C)[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,29.0,nM,7.54,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL265121,CC(C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,8.0,nM,8.1,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL384971,CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,7.0,nM,8.15,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL413155,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,6.0,nM,8.22,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL413155,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,6.0,nM,8.22,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL273652,CC(C)[C@H](NC(=O)[C@H](Cc1cccnc1)NC(=O)N[C@@H](C)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,533.0,nM,6.27,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL268003,CC(C)[C@H](NC(=O)[C@H](Cc1cccnc1)NC(=O)N[C@H](C)c1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,28.0,nM,7.55,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL384693,CC(C)[C@H](NC(=O)[C@@H](NC(=O)N[C@@H](C)c1ccc(Br)cc1)C1CCCCC1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,132.0,nM,6.88,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL375816,CC(C)[C@H](NC(=O)[C@@H](NC(=O)N[C@H](C)c1ccc(Br)cc1)C1CCCCC1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,10.0,nM,8.0,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL216110,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,26000.0,nM,4.58,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL273666,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,356.0,nM,6.45,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL218594,CC(C)C[C@H](NC(=O)NCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,136.0,nM,6.87,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL100320,CC(C)C[C@H](NC(=O)NCc1ccc(F)cc1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,114.0,nM,6.94,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL375599,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)cc1Cl)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,45.0,nM,7.35,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL375599,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)cc1Cl)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,45.0,nM,7.35,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL119057,CC(C)C[C@H](NC(=O)NC(C)c1ccc(Br)cc1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,10.0,nM,8.0,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL265598,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)(C)C,IC50,9200.0,nM,5.04,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL219354,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,920.0,nM,6.04,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL375598,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,710.0,nM,6.15,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL219462,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C1CCCCC1,IC50,340.0,nM,6.47,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL375597,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,200.0,nM,6.7,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL384603,CCC(C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,76.0,nM,7.12,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL266570,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,63.0,nM,7.2,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL266570,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,63.0,nM,7.2,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL268452,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NNS(=O)(=O)c1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,2300.0,nM,5.64,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL218978,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NNC(=O)Cc1ccco1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,2600.0,nM,5.58,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL384891,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NNC(=O)c1ccco1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,2200.0,nM,5.66,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL384432,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NNC(=O)Nc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,1920.0,nM,5.72,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL384431,CCOC(=O)C(CC(C)C)NC(=O)NN[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,403.0,nM,6.39,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL191264,CCOC(=O)C(Cc1ccccc1)NC(=O)NN[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,258.0,nM,6.59,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL384430,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NNC(=O)NCc1ccc(F)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,160.0,nM,6.8,,CHEMBL907635,8,CHEMBL2820,CHEMBL1138224,8bo6,P03951
CHEMBL271508,CC(C)[C@H](NC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,500.0,nM,6.3,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL271508,CC(C)[C@H](NC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,500.0,nM,6.3,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL273653,CC(C)[C@H](NC(=O)[C@H](CCCNC(N)=O)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,30.0,nM,7.52,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL273653,CC(C)[C@H](NC(=O)[C@H](CCCNC(N)=O)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,30.0,nM,7.52,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL413155,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,6.0,nM,8.22,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL413155,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,6.0,nM,8.22,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL269969,CC(C)[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,10.0,nM,8.0,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL375599,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)cc1Cl)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,45.0,nM,7.35,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL375599,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)cc1Cl)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,45.0,nM,7.35,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL266570,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,63.0,nM,7.2,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL266570,CC(C)C[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,63.0,nM,7.2,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL270204,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,93.0,nM,7.03,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL403113,CC(C)[C@H](NC(=O)[C@H](O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,120.0,nM,6.92,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL403113,CC(C)[C@H](NC(=O)[C@H](O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,120.0,nM,6.92,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL403113,CC(C)[C@H](NC(=O)[C@H](O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,120.0,nM,6.92,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL429733,CC(C)[C@H](NC(=O)C(=O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,250.0,nM,6.6,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL429733,CC(C)[C@H](NC(=O)C(=O)c1cccc(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,250.0,nM,6.6,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL255407,CC(C)CCC(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,850.0,nM,6.07,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL255407,CC(C)CCC(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1)C(C)C,IC50,850.0,nM,6.07,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL257315,CC(C)[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,480.0,nM,6.32,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL257315,CC(C)[C@H](NC(=O)NCc1ccc(Cl)c(Cl)c1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,IC50,480.0,nM,6.32,,CHEMBL948936,9,CHEMBL2820,CHEMBL1143211,8bo6,P03951
CHEMBL521739,N=C(N)NCCCCNC(=O)Oc1c(Br)cc(O)c(CC(=O)O)c1Br,IC50,1300.0,nM,5.89,,CHEMBL954833,8,CHEMBL2820,CHEMBL1150765,8bo6,P03951
CHEMBL486904,N=C(N)NCCCCNC(=O)Oc1cc(Br)c(O)c(Br)c1CC(N)=O,IC50,27000.0,nM,4.57,,CHEMBL954833,8,CHEMBL2820,CHEMBL1150765,8bo6,P03951
