molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3263640,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nc[nH]c2n1,IC50,112.0,nM,6.95,,CHEMBL3270982,9,CHEMBL3259478,CHEMBL3259754,8s9f,P35991
CHEMBL2057915,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@@H]3C(=O)N(C)CCN3C)cc2)n1,IC50,60.0,nM,7.22,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401292,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@H]3C(=O)N(C)CCN3C)cc2)n1,IC50,160.0,nM,6.8,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401291,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc(-c3ncc[nH]3)cc2)n1,IC50,23900.0,nM,4.62,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401290,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc(N3CC[C@@H](N(C)C)C3)cc2)n1,IC50,800.0,nM,6.1,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401289,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc(C3CCN(C)CC3)cc2)n1,IC50,60.0,nM,7.22,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401288,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccn3ccnc3c2)n1,IC50,1300.0,nM,5.89,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401286,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc3[nH]ccc3c2)n1,IC50,1100.0,nM,5.96,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401283,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2cccnc2)n1,IC50,5000.0,nM,5.3,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401278,Cc1c(NC(=O)c2cc3c(s2)CCOC3)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,IC50,1300.0,nM,5.89,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401277,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,IC50,230.0,nM,6.64,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
CHEMBL3401276,Cc1c(NC(=O)c2cnc(C(C)(C)C)cn2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,IC50,890.0,nM,6.05,,CHEMBL3406075,9,CHEMBL3259478,CHEMBL3400008,8s9f,P35991
